"app_rcode","camp_name","dataextract_dur","dataextract_start","dataextract_stop","datavalidate_dur","datavalidate_start","datavalidate_stop","duration","end_time","fi_enabled","folder_name","launch_dur","launch_start","launch_stop","operator","operator_MFC","operator_MIA","operator_MIFS","operator_MLPA","operator_MVAV","operator_MVIV","operator_WAEP","operator_WLEC","operator_WVAV","patch_file","postfinish_dur","postfinish_start","postfinish_stop","prelaunch_dur","prelaunch_start","prelaunch_stop","run_n","source_file","start_time","total_patches","transform_dur","transform_start","transform_stop"
0.0,"run_golden",4.0531158447265625e-06,1655642251.839413,1655642251.839417,3.337860107421875e-06,1655642251.8595269,1655642251.8595302,7.922892332077026,1655642251.859537,"False","./results/run_22_06_19_13:37:23",7.879141092300415,1655642243.9602437,1655642251.8393848,"storage/nthprime.c.",2.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,"/tmp/patch_storage/nthprime.c._MFC_1.patch",7.867813110351562e-06,1655642251.839402,1655642251.8394098,4.76837158203125e-06,1655642243.9602325,1655642243.9602373,1.0,"patch",1655642243.9366446,16.0,3.814697265625e-06,1655642251.8394217,1655642251.8394256
0.0,"run_golden",1.9073486328125e-06,1655642261.0132391,1655642261.013241,1.5020370483398438e-05,1655642261.0378857,1655642261.0379007,8.007790327072144,1655642261.0379312,"False","./results/run_22_06_19_13:37:33",7.963865041732788,1655642253.0493567,1655642261.0132217,"storage/nthprime.c.",2.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,"/tmp/patch_storage/nthprime.c._MIA_0.patch",4.0531158447265625e-06,1655642261.0132332,1655642261.0132372,4.291534423828125e-06,1655642253.049346,1655642253.0493503,2.0,"patch",1655642253.0301409,16.0,2.384185791015625e-06,1655642261.013244,1655642261.0132463
0.0,"run_golden",2.1457672119140625e-06,1655642270.2260761,1655642270.2260783,5.4836273193359375e-06,1655642270.2440524,1655642270.244058,7.930996656417847,1655642270.2440798,"False","./results/run_22_06_19_13:37:42",7.889227628707886,1655642262.33683,1655642270.2260575,"storage/nthprime.c.",2.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,"/tmp/patch_storage/nthprime.c._MIA_1.patch",4.291534423828125e-06,1655642270.2260695,1655642270.2260737,5.0067901611328125e-06,1655642262.3368177,1655642262.3368227,3.0,"patch",1655642262.3130832,16.0,1.9073486328125e-06,1655642270.2260811,1655642270.226083
0.0,"run_golden",2.1457672119140625e-06,1655642279.331719,1655642279.331721,1.0728836059570312e-05,1655642279.352315,1655642279.3523257,7.9203269481658936,1655642279.3523529,"False","./results/run_22_06_19_13:37:51",7.8765904903411865,1655642271.4551115,1655642279.331702,"storage/nthprime.c.",2.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,"/tmp/patch_storage/nthprime.c._MIFS_0.patch",3.337860107421875e-06,1655642279.3317132,1655642279.3317165,5.4836273193359375e-06,1655642271.4550824,1655642271.455088,4.0,"patch",1655642271.432026,16.0,2.6226043701171875e-06,1655642279.331724,1655642279.3317266
0.0,"run_golden",2.1457672119140625e-06,1655642288.390434,1655642288.3904362,1.1682510375976562e-05,1655642288.4119878,1655642288.4119995,7.854137182235718,1655642288.4120293,"False","./results/run_22_06_19_13:38:00",7.8114402294158936,1655642280.57897,1655642288.3904102,"storage/nthprime.c.",2.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,"/tmp/patch_storage/nthprime.c._MLPA_0.patch",4.291534423828125e-06,1655642288.3904269,1655642288.3904312,4.5299530029296875e-06,1655642280.5789597,1655642280.5789642,5.0,"patch",1655642280.557892,16.0,3.337860107421875e-06,1655642288.3904393,1655642288.3904426
0.0,"run_golden",3.0994415283203125e-06,1655642297.8524277,1655642297.8524308,6.9141387939453125e-06,1655642297.8723018,1655642297.8723087,8.163201332092285,1655642297.8723319,"False","./results/run_22_06_19_13:38:09",8.105422973632812,1655642289.7469873,1655642297.8524103,"storage/nthprime.c.",2.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,"/tmp/patch_storage/nthprime.c._MVAV_0.patch",4.0531158447265625e-06,1655642297.852421,1655642297.852425,6.67572021484375e-06,1655642289.7469678,1655642289.7469745,6.0,"patch",1655642289.7091305,16.0,2.86102294921875e-06,1655642297.8524337,1655642297.8524365
0.0,"run_golden",1.9073486328125e-06,1655642307.0304418,1655642307.0304437,5.7220458984375e-06,1655642307.048469,1655642307.0484748,7.870562314987183,1655642307.0484948,"False","./results/run_22_06_19_13:38:19",7.829800844192505,1655642299.200622,1655642307.030423,"storage/nthprime.c.",2.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,"/tmp/patch_storage/nthprime.c._MVIV_0.patch",4.291534423828125e-06,1655642307.030435,1655642307.0304394,5.4836273193359375e-06,1655642299.2006092,1655642299.2006147,7.0,"patch",1655642299.1779325,16.0,2.86102294921875e-06,1655642307.0304463,1655642307.0304492
0.0,"run_golden",2.1457672119140625e-06,1655642316.4494307,1655642316.4494328,7.62939453125e-06,1655642316.4673154,1655642316.467323,8.192894220352173,1655642316.4673452,"False","./results/run_22_06_19_13:38:28",8.149811267852783,1655642308.2995973,1655642316.4494085,"storage/nthprime.c.",2.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,"/tmp/patch_storage/nthprime.c._WAEP_0.patch",4.291534423828125e-06,1655642316.4494238,1655642316.449428,4.291534423828125e-06,1655642308.299586,1655642308.2995903,8.0,"patch",1655642308.274451,16.0,2.86102294921875e-06,1655642316.4494357,1655642316.4494386
0.0,"run_golden",4.0531158447265625e-06,1655642326.1756268,1655642326.1756308,1.33514404296875e-05,1655642326.207053,1655642326.2070663,8.080806016921997,1655642326.2071054,"False","./results/run_22_06_19_13:38:38",8.023348808288574,1655642318.152241,1655642326.1755898,"storage/nthprime.c.",2.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,"/tmp/patch_storage/nthprime.c._WAEP_1.patch",7.62939453125e-06,1655642326.1756148,1655642326.1756225,5.7220458984375e-06,1655642318.1522257,1655642318.1522315,9.0,"patch",1655642318.1262994,16.0,4.291534423828125e-06,1655642326.1756358,1655642326.17564
0.0,"run_golden",2.384185791015625e-06,1655642335.5063167,1655642335.506319,2.002716064453125e-05,1655642335.5212862,1655642335.5213063,8.094322204589844,1655642335.5213327,"False","./results/run_22_06_19_13:38:47",8.0565927028656,1655642327.4496908,1655642335.5062835,"storage/nthprime.c.",2.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,"/tmp/patch_storage/nthprime.c._WAEP_2.patch",5.245208740234375e-06,1655642335.5063093,1655642335.5063145,5.7220458984375e-06,1655642327.4496768,1655642327.4496825,10.0,"patch",1655642327.4270105,16.0,2.86102294921875e-06,1655642335.5063221,1655642335.506325
